word	label
අංකන	1
අංකනය	1
අංකය	1
අංකාන්තරය	1
අංකිත	1
අංකුට්ටා	1
අංකුර	1
අංකුරමය	1
අංකුරය	1
අංකුශය	0
අංකුසය	1
අංඛන	0
අංඛනය	0
අංඛය	0
අංඛාන්තරය	0
අංඛිත	0
අංඛුට්ටා	0
අංඛුර	0
අංඛුරමය	0
අංඛුරය	0
අංඛුසය	0
අංග	1
අංගණ	1
අංගණය	1
අංගනය	1
අංගමාරය	1
අංගය	1
අංගරාග	1
අංගශමතාව	0
අංගසමතාව	1
අංගහාරය	1
අංගාරක්ෂක	1
අංගාරක්සක	0
අංගාරඛ්ෂඛ	0
අංගාරදර	1
අංගාරධර	1
අංඝ	0
අංඝණ	0
අංඝණය	1
අංඝනය	1
අංඝමාරය	1
අංඝය	0
අංඝරාඝ	1
අංඝසමතාව	1
අංඝහාරය	1
අංඝාරක්ෂක	1
අංඝාරධර	1
අංඟුලිකා	0
අංඟුලිඛා	1
අංඟුළිකා	0
අංජනම	1
අංශ	1
අංශකය	1
අංශඛය	1
අංශචිත්‍රය	0
අංශභාගය	0
අංශභාගී	0
අංශභාඝය	0
අංශභාඝී	0
අංශය	0
අංශික	0
අංශිඛ	0
අංශීකරණය	0
අංශීඛරණය	0
අංශු	0
අංශුමය	0
අංශුමාත්‍රය	1
අංශුව	1
අංෂ	1
අංෂ	1
අංෂකය	1
අංෂකය	1
අංෂචිත්‍රය	1
අංෂචිත්‍රය	1
අංෂභාගය	1
අංෂභාගය	1
අංෂභාගී	1
අංෂභාගී	1
අංෂය	1
අංෂය	0
අංෂික	0
අංෂික	1
අංෂීකරණය	1
අංෂීකරණය	1
අංෂු	0
අංෂු	1
අංෂුමය	1
අංෂුමය	1
අංෂුමාත්‍රය	1
අංෂුමාත්‍රය	1
අංෂුව	1
අංෂුව	1
අකටයුත්ත	0
අකණ්ඩ	0
අකමැතිකම	1
අකමැත්තෙන්	1
අකරණය	1
අකරතැබ්බය	0
අකරතැභ්භය	1
අකරුණාව	0
අකරුණාවන්ත	0
අකරුණික	0
අකර්තෘක	0
අකර්මක	1
අකලංක	1
අකල්	1
අකළංක	1
අකළ්	1
අකාබනික	1
අකාභනික	1
අකායික	1
අකාරක්ෂම	1
අකාරක්සම	0
අකාරාදිකරණය	0
අකාරාදිය	0
අකාරුණික	1
අකාරුණ්‍ය	1
අකාර්මික	1
අකාර්යක්ෂම	0
අකාර්යක්ෂමතාව	0
අකාර්යක්සම	0
අකාර්යක්සමතාව	1
අකාල	1
අකාලයේ	1
අකාලික	0
අකාශවශතුව	0
අකාශවසතුව	0
අකාෂවසතුව	0
අකාෂවසතුව	1
අකාළ	1
අකාළයේ	1
අකාළික	0
අකැමති	1
අකැමැති	1
අකැමැත්ත	1
අකීකරු	1
අකීකරුකම	1
අකුඇටය	1
අකුටිල	1
අකුටිලත්වය	1
අකුටිලභාවය	1
අකුටිළ	0
අකුටිළත්වය	0
අකුටිළභාවය	1
අකුණ	1
අකුර	1
අකුල	0
අකුශල	1
අකුශලය	1
අකුශල්	1
අකුසල	1
අකුසලය	1
අකුසල්	1
අකුසළ	1
අකුසළය	1
අකුසළ්	1
අකුළ	1
අකුළනවා	1
අකෘතඥ	0
අකෘතඥයා	0
අකෘතහශ්ත	1
අකෘතහස්ත	1
අකෝණික	1
අක්කරය	1
අක්කාරම්	1
අක්කොළ	1
අක්දෙරිය	0
අක්මාව	1
අක්මාශාක	1
අක්මාශාකය	1
